material,P_W,v_mm_per_s,melt_width_um,melt_depth_um
Ti64,370,1300,238.35,110.322
Ti64,370,1350,200.668,95.794
Ti64,370,1400,253.332,93.978
Ti64,370,1450,213.834,80.358
Ti64,370,1500,269.222,76.272
Ti64,370,1550,167.98,104.874
Ti64,370,1600,162.078,95.34
Ti64,370,1650,242.436,103.512
Ti64,370,1700,210.202,138.924
Ti64,370,1300,228.816,125.304
Ti64,370,1350,261.504,133.476
Ti64,370,1400,232.902,172.066
Ti64,370,1450,236.08,134.384
Ti64,370,1500,271.492,153.906
Ti64,370,1550,295.554,66.738
Ti64,370,1600,198.852,209.748
Ti64,370,1650,200.214,100.788
Ti64,370,1700,151.182,162.078
Ti64,370,1300,257.418,128.028
Ti64,370,1350,238.35,151.182
Ti64,370,1400,200.668,152.544
Ti64,370,1450,238.35,123.942
Ti64,370,1500,242.436,106.236
Ti64,370,1550,213.834,99.426
Ti64,370,1600,208.84,104.874
Ti64,370,1650,261.504,128.028
Ti64,370,1700,210.202,91.254
Ti64,370,1300,267.86,95.34
Ti64,370,1350,223.368,89.892
Ti64,370,1400,227.454,113.046
Ti64,370,1450,261.504,84.444
Ti64,370,1500,209.748,91.254
Ti64,370,1550,213.834,58.566
Ti64,370,1600,213.834,47.67
Ti64,370,1650,299.64,55.842
Ti64,370,1700,223.368,103.512
Ti64,370,1300,232.902,219.282
Ti64,370,1350,246.522,157.992
Ti64,370,1400,242.436,156.63
Ti64,370,1450,275.578,108.96
Ti64,370,1500,290.106,139.378
Ti64,370,1550,271.038,123.942
Ti64,370,1600,238.35,108.96
Ti64,370,1650,185.232,166.164
Ti64,370,1700,189.318,100.788
Ti64,370,1300,242.436,223.368
Ti64,370,1350,276.486,236.988
Ti64,370,1400,251.97,179.784
Ti64,370,1450,266.952,153.906
Ti64,370,1500,223.368,172.974
Ti64,370,1550,253.332,186.594
Ti64,370,1600,219.282,119.856
Ti64,370,1650,276.486,114.408
Ti64,370,1700,247.884,76.272
