material,P_W,v_mm_per_s,melt_width_um,melt_depth_um,LED_J_per_mm,norm_width,norm_depth,h_mm,t_mm,VED_J_per_mm3
IN718,300.0,700.0,132.0,313.0,0.42857142857142855,0.4032578345054287,0.2553017944535073,0.11,0.04,97.4025974025974
IN718,300.0,800.0,142.0,300.0,0.375,0.43380767045280966,0.24469820554649266,0.11,0.04,85.22727272727273
IN718,300.0,900.0,122.0,260.0,0.3333333333333333,0.37270799855804776,0.21207177814029363,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,110.0,246.0,0.3,0.3360481954211906,0.200652528548124,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,132.0,147.0,0.2727272727272727,0.4032578345054287,0.1199021207177814,0.11,0.04,61.98347107438017
IN718,300.0,400.0,170.0,556.0,0.75,0.5193472111054763,0.4535073409461664,0.11,0.04,170.45454545454547
IN718,300.0,500.0,168.0,495.0,0.6,0.5132372439160001,0.40375203915171287,0.11,0.04,136.36363636363635
IN718,300.0,600.0,128.0,422.0,0.5,0.3910379001264763,0.3442088091353997,0.11,0.04,113.63636363636363
IN718,300.0,700.0,150.0,328.0,0.42857142857142855,0.4582475392107144,0.26753670473083196,0.11,0.04,97.4025974025974
IN718,300.0,800.0,146.0,287.0,0.375,0.44602760483176207,0.23409461663947798,0.11,0.04,85.22727272727273
IN718,300.0,900.0,122.0,280.0,0.3333333333333333,0.37270799855804776,0.22838499184339314,0.11,0.04,75.75757575757576
IN718,300.0,1000.0,132.0,233.0,0.3,0.4032578345054287,0.1900489396411093,0.11,0.04,68.18181818181817
IN718,300.0,1100.0,134.0,182.0,0.2727272727272727,0.4093678016949049,0.14845024469820556,0.11,0.04,61.98347107438017
IN718,300.0,400.0,222.0,539.0,0.75,0.6782063580318574,0.4396411092985318,0.11,0.04,170.45454545454547
IN718,300.0,500.0,168.0,509.0,0.6,0.5132372439160001,0.41517128874388254,0.11,0.04,136.36363636363635
IN718,300.0,600.0,154.0,407.0,0.5,0.47046747358966684,0.33197389885807504,0.11,0.04,113.63636363636363
IN718,300.0,700.0,158.0,264.0,0.42857142857142855,0.4826874079686192,0.21533442088091354,0.11,0.04,97.4025974025974
